date,month,year,axis,origin,destination,number_of_trains_scheduled,number_of_train_canceled,trains_late_at_destination,number_of_trains_actual,percentage_trains_canceled,reliability,line
2018-09,9,2018,Intercites,marseille-st-charles,bordeaux-st-jean,223.0,6.0,67.0,217.0,2.69,69.1,marseille-st-charles:bordeaux-st-jean
2018-09,9,2018,Intercites,toulouse,paris,85.0,0.0,12.0,85.0,0.0,85.9,toulouse:paris
2018-10,10,2018,Intercites,paris,caen,255.0,4.0,55.0,251.0,1.57,78.1,paris:caen
2018-10,10,2018,Intercites,trouville-deauville,paris,77.0,2.0,4.0,75.0,2.6,94.7,trouville-deauville:paris
2018-10,10,2018,Intercites,le-havre,paris,368.0,1.0,53.0,367.0,0.27,85.6,le-havre:paris
2018-10,10,2018,Intercites,rouen-rive-droite,paris,300.0,3.0,54.0,297.0,1.0,81.8,rouen-rive-droite:paris
2018-10,10,2018,Intercites,paris,boulogne,147.0,6.0,17.0,141.0,4.08,87.9,paris:boulogne
2018-10,10,2018,Intercites,maubeuge,paris,171.0,2.0,12.0,169.0,1.17,92.9,maubeuge:paris
2018-10,10,2018,Intercites,paris,cherbourg,204.0,2.0,43.0,202.0,0.98,78.7,paris:cherbourg
2018-10,10,2018,Intercites,paris,clermont-ferrand,232.0,6.0,17.0,226.0,2.59,92.5,paris:clermont-ferrand
2018-10,10,2018,Intercites,clermont-ferrand,beziers,62.0,2.0,9.0,60.0,3.23,85.0,clermont-ferrand:beziers
2018-10,10,2018,Intercites,paris,toulouse,86.0,0.0,13.0,86.0,0.0,84.9,paris:toulouse
2018-10,10,2018,Intercites,paris,latour-de-carol,30.0,2.0,1.0,28.0,6.67,96.4,paris:latour-de-carol
2018-11,11,2018,Intercites,paris,trouville-deauville,90.0,0.0,27.0,90.0,0.0,70.0,paris:trouville-deauville
2018-11,11,2018,Intercites,paris,rouen-rive-droite,345.0,6.0,88.0,339.0,1.74,74.0,paris:rouen-rive-droite
2018-11,11,2018,Intercites,caen,tours,74.0,0.0,10.0,74.0,0.0,86.5,caen:tours
2018-11,11,2018,Intercites,lyon,nantes,59.0,1.0,0.0,58.0,1.69,100.0,lyon:nantes
2018-11,11,2018,Intercites,bordeaux-st-jean,nantes,106.0,2.0,21.0,104.0,1.89,79.8,bordeaux-st-jean:nantes
2018-11,11,2018,Intercites,marseille-st-charles,bordeaux-st-jean,330.0,7.0,145.0,323.0,2.12,55.1,marseille-st-charles:bordeaux-st-jean
2018-11,11,2018,Intercites,paris,toulouse,30.0,0.0,5.0,30.0,0.0,83.3,paris:toulouse
2018-11,11,2018,Intercites,latour-de-carol,paris,30.0,2.0,2.0,28.0,6.67,92.9,latour-de-carol:paris
2018-12,12,2018,Intercites,amiens,paris,214.0,3.0,48.0,211.0,1.4,77.3,amiens:paris
2018-12,12,2018,Intercites,st-quentin,paris,118.0,2.0,13.0,116.0,1.69,88.8,st-quentin:paris
2018-12,12,2018,Intercites,paris,st-quentin,124.0,2.0,14.0,122.0,1.61,88.5,paris:st-quentin
2018-12,12,2018,Intercites,trouville-deauville,paris,79.0,2.0,11.0,77.0,2.53,85.7,trouville-deauville:paris
2018-12,12,2018,Intercites,boulogne,paris,150.0,5.0,17.0,145.0,3.33,88.3,boulogne:paris
2018-12,12,2018,Intercites,paris,boulogne,148.0,5.0,20.0,143.0,3.38,86.0,paris:boulogne
2018-12,12,2018,Intercites,paris,maubeuge/cambrai,166.0,3.0,29.0,163.0,1.81,82.2,paris:maubeuge/cambrai
2018-12,12,2018,Intercites,bayonne,toulouse,42.0,0.0,3.0,42.0,0.0,92.9,bayonne:toulouse
2018-12,12,2018,Intercites,bordeaux-st-jean,marseille-st-charles,227.0,7.0,80.0,220.0,3.08,63.6,bordeaux-st-jean:marseille-st-charles
2018-12,12,2018,Intercites,brive,paris,211.0,2.0,29.0,209.0,0.95,86.1,brive:paris
2018-12,12,2018,Intercites,briancon,paris,29.0,1.0,5.0,28.0,3.45,82.1,briancon:paris
2019-01,1,2019,Intercites,trouville-deauville,paris,80.0,2.0,12.0,78.0,2.5,84.6,trouville-deauville:paris
2019-01,1,2019,Intercites,le-havre,paris,363.0,2.0,31.0,361.0,0.55,91.4,le-havre:paris
2019-01,1,2019,Intercites,paris,le-havre,360.0,3.0,32.0,357.0,0.83,91.0,paris:le-havre
2019-01,1,2019,Intercites,tours,caen,62.0,0.0,4.0,62.0,0.0,93.5,tours:caen
2019-01,1,2019,Intercites,beziers,clermont-ferrand,57.0,0.0,2.0,57.0,0.0,96.5,beziers:clermont-ferrand
2019-01,1,2019,Intercites,bayonne,toulouse,24.0,2.0,4.0,22.0,8.33,81.8,bayonne:toulouse
2019-01,1,2019,Intercites,toulouse,bayonne,23.0,2.0,2.0,21.0,8.7,90.5,toulouse:bayonne
2019-01,1,2019,Intercites,paris,toulouse,88.0,0.0,12.0,88.0,0.0,86.4,paris:toulouse
2019-01,1,2019,Intercites,paris,toulouse,29.0,1.0,3.0,28.0,3.45,89.3,paris:toulouse
2019-01,1,2019,Intercites,paris,briancon,31.0,0.0,2.0,31.0,0.0,93.5,paris:briancon
