ID;Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard;empty
INT_43_B;2014-02;Nord-Normandie;ROUEN-RIVE-DROITE;PARIS-ST-LAZARE;268;266;2;19;92.9;13.0;ROUEN:PARIS-ST-LAZARE
INT_3_B;2014-02;Nord-Normandie;BOULOGNE;PARIS-NORD;139;139;0;12;91.4;10.6;BOULOGNE:PARIS-NORD
INT_5_A;2014-02;Nord-Normandie;CAEN;PARIS-ST-LAZARE;176;176;0;15;91.5;10.7;CAEN:PARIS-ST-LAZARE
INT_15_B;2014-02;Atlantique Méd.;NANTES;BORDEAUX-ST-JEAN;67;64;3;7;89.1;8.1;NANTES:BORDEAUX-ST-JEAN
INT_11_B;2014-02;Est Centre;PARIS-BERCY;CLERMONT-FERRAND;212;212;0;19;91.0;10.2;PARIS-BERCY:CLERMONT-FERRAND
INT_20_B;2014-02;Est Centre;PARIS-EST;BELFORT;97;96;1;12;87.5;7.0;PARIS-EST:BELFORT
INT_20_A;2014-02;Est Centre;PARIS-EST;TROYES;261;259;2;26;90.0;9.0;PARIS-EST:TROYES
INT_16_B;2014-02;Atlantique Méd.;TOULOUSE-MATABIAU;HENDAYE;23;22;1;0;100.0;;TOULOUSE-MATABIAU:HENDAYE
INT_6_B;2014-02;Est Centre;TROYES;PARIS-EST;220;219;1;14;93.6;14.6;TROYES:PARIS-EST
INT_19_B;2014-03;Est Centre;BÉZIERS;CLERMONT-FERRAND;31;31;0;0;100.0;;BÉZIERS:CLERMONT-FERRAND
INT_2_A;2014-03;Nord-Normandie;PARIS-NORD;AMIENS;302;300;2;32;89.3;8.4;PARIS-NORD:AMIENS
INT_21_B;2014-03;Nord-Normandie;CHERBOURG;PARIS-ST-LAZARE;194;192;2;10;94.8;18.2;CHERBOURG:PARIS-ST-LAZARE
INT_35_B;2014-03;Nord-Normandie;PARIS-ST-LAZARE;LE-HAVRE;354;354;0;24;93.2;13.8;PARIS-ST-LAZARE:LE-HAVRE
INT_15_B;2014-03;Atlantique Méd.;NANTES;BORDEAUX-ST-JEAN;71;71;0;7;90.1;9.1;NANTES:BORDEAUX-ST-JEAN
INT_4_B;2014-03;Est Centre;NEVERS;PARIS-BERCY;150;150;0;12;92.0;11.5;NEVERS:PARIS-BERCY
INT_44_B;2014-03;Centre Sud-Ouest;PARIS-AUSTERLITZ;CERBERE;313;312;1;15;95.2;19.8;PARIS-AUSTERLITZ:CERBERE
